Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Devonshire Terrace,Westminster,526404.290,180965.760,51.513478,-0.17979099
Clifford Street,Westminster,529009.140,180717.070,51.510661,-0.14236214
Cadogan Gardens,K&C,527841.178,178665.799,51.492485,-0.15992668
Brick Lane Market,Tower Hamlets,533879.410,182173.460,51.522613,-0.07167445
Buxton Street,Tower Hamlets,534077.971,182085.390,51.521776,-0.068855696
Imperial College,Westminster,526447.903,179402.677,51.499422,-0.17973153
Holland Walk,K&C,524978.879,179692.456,51.502355,-0.20078078
Snow Hill,City,531678.310,181527.824,51.517325,-0.10362176
Charlotte Street,Camden,529439.800,181714.860,51.519523,-0.13580356
Stanhope Gate,Westminster,528442.283,180280.999,51.506863,-0.1506871
Moor Street,Westminster,529849.980,181057.350,51.513524,-0.13013947
Frith Street,Westminster,529774.650,181008.220,51.513101,-0.1312377
Rathbone Street,Westminster,529495.820,181564.120,51.518162,-0.13505196
Upper Grosvenor Street,Westminster,528079.768,180634.274,51.510127,-0.15578615
Farm Street,Westminster,528659.110,180562.066,51.509348,-0.14745933
Southampton Street,Westminster,530439.870,180758.830,51.510702,-0.12175241
Marloes Road,K&C,525581.649,179135.840,51.497215,-0.19229581
Fire Brigade Pier,Lambeth,530502.265,178847.180,51.493514,-0.12155142
Paddington Green,Westminster,526746.150,181722.870,51.520205,-0.17459317
Waterloo Bridge,Lambeth,531015.100,180177.780,51.505347,-0.11367267
Prince Consort Road,Westminster,526675.066,179450.831,51.499802,-0.17643142
Millbank Tower,Westminster,530219.448,178658.479,51.49188,-0.12569526
Greycoat Street,Westminster,529617.550,178944.290,51.494589,-0.13425668
Kensington Town Hall,K&C,525421.460,179657.410,51.501942,-0.19441412
King Edward Walk,Lambeth,531299.850,179339.150,51.497751,-0.10989469
Sardinia Street,Camden,530681.797,181260.296,51.515157,-0.11808127
Harriet Street,K&C,527864.130,179533.780,51.500281,-0.15928133
Harrowby Street,Westminster,527463.890,181423.650,51.517356,-0.16437272
Waterloo Station,Lambeth,531040.640,180023.880,51.503958,-0.11336984
Alfred Place,Camden,529680.144,181734.921,51.519647,-0.13232468
Millennium Hotel,Westminster,528391.392,180732.216,51.510937,-0.15125712
Royal College Street,Camden,529520.995,183579.082,51.536264,-0.13395163
City Road ,Islington,531880.290,182981.450,51.530344,-0.10016845
High Holborn,Camden,530242.650,181390.920,51.516427,-0.12435628
Lord's,Westminster,526944.459,182707.833,51.529012,-0.17138635
