Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Aston Street,Tower Hamlets,536193.000,181518.000,51.516175,-0.038594438
Imperial Wharf Station,H&F,526277.280,176643.980,51.474665,-0.18316517
Riverlight North,Wandsworth,529524.180,177582.330,51.48237,-0.13609482
Putney Pier,Wandsworth,524000.880,175710.090,51.466783,-0.21626086
Wansey Street,Southwark,532160.270,178627.350,51.491152,-0.097764812
Boston Place,Westminster,527589.200,182009.840,51.522594,-0.16234582
Clapham Common Northside,Wandsworth,527969.710,175203.370,51.461344,-0.15933685
Binfield Road,Lambeth,530472.986,176508.879,51.472501,-0.12284667
Abyssinia Close ,Wandsworth,527435.680,175080.190,51.460359,-0.16706358
Limburg Road,Wandsworth,527553.300,175257.000,51.461923,-0.16530221
Page Street,Westminster,530084.910,178888.120,51.493978,-0.12755402
Rifle Place,K&C,523901.730,180429.700,51.509215,-0.21603078
Tallis Street ,City,531432.600,180916.500,51.511892,-0.10739269
Woodstock Grove,H&F,523819.670,179850.860,51.504029,-0.21741484
Sandilands Road,H&F,525680.130,176511.240,51.473611,-0.1918035
Little Brook Green,H&F,523391.860,179020.380,51.496664,-0.22386827
Hurlingham Park,H&F,524904.410,176127.160,51.470332,-0.20310631
Seymour Place,Westminster,527504.350,181755.310,51.520331,-0.16366214
Gwendwr Road,H&F,524429.820,178417.234,51.491017,-0.20913546
Ram Street,Wandsworth,525698.890,174722.250,51.45753,-0.19218
Storey's Gate,Westminster,529915.960,179632.330,51.500703,-0.12971336
Ranelagh Gardens,H&F,524653.350,175817.280,51.467601,-0.20682737
St. John's Road,Wandsworth,527343.520,175304.130,51.462393,-0.16830653
Santos Road,Wandsworth,525099.770,174654.900,51.457051,-0.20082104
Hurlingham Park,H&F,524904.410,176127.160,51.470332,-0.20310631
Broadley Terrace,Westminster,527352.686,182221.621,51.524553,-0.16568345
Mile End Park Leisure Centre,Tower Hamlets,536597.681,182021.105,51.520597,-0.032580937
Doddington Grove,Southwark,531808.810,178148.438,51.486929,-0.10301069
Humbolt Road,H&F,524261.350,177545.390,51.483217,-0.21186064
Rossmore Road,Westminster,527481.210,182304.030,51.52527,-0.16379501
Prince of Wales Drive,Wandsworth,527941.720,176738.570,51.475145,-0.15918455
Grenfell Road,K&C,523978.970,180841.170,51.512901,-0.21477709
Duke Street Hill,Southwark,532844.560,180330.780,51.506296,-0.087277772
Simpson Street,Wandsworth,527152.880,176240.240,51.470847,-0.17071806
Hammersmith Town Hall,H&F,522692.170,178554.810,51.492628,-0.2340945
Crisp Road,H&F,523223.780,178064.490,51.488109,-0.22662061
Culvert Road,Wandsworth,528044.920,176289.630,51.471087,-0.15786485
Manfred Road,Wandsworth,524735.870,174769.280,51.458165,-0.20601687
Newton Street,Camden,530481.910,181362.890,51.51612,-0.12092418
Ormonde Gate,K&C,527725.630,178159.050,51.487964,-0.16177957
Park Lane,Westminster,528436.724,180119.721,51.505418,-0.15083208
Haggerston Road,Hackney,533649.410,184027.350,51.539329,-0.074284675
Hertford Road,Hackney,533313.860,183790.370,51.537278,-0.079216258
All Saints Church,K&C,524813.410,181241.632,51.516312,-0.20260897
Hortensia Road,K&C,526110.690,177429.130,51.481766,-0.18528812
Upcerne Road,K&C,526317.500,177033.590,51.478161,-0.18245022
Blenheim Crescent,K&C,524402.580,181096.880,51.515099,-0.20858024
Sirdar Road,K&C,523996.230,180622.380,51.510929,-0.21459478
Freston Road,K&C,523650.980,180841.970,51.512973,-0.21950136
South Lambeth Road,Lambeth,530321.194,177533.143,51.481747,-0.12464175
Imperial Road,H&F,525990.270,176689.440,51.475142,-0.18727899
Ingrave Street,Wandsworth,527052.180,175859.980,51.467446,-0.17229386
Queensdale Road,H&F,523902.640,180136.720,51.506582,-0.21611923
Lots Road,K&C,526550.060,177195.930,51.479565,-0.1790389
Fulham Broadway,H&F,525501.570,177209.600,51.479924,-0.1941317
Finnis Street,Tower Hamlets,534778.324,182415.886,51.524575,-0.058631835
Cadogan Close,Tower Hamlets,536785.273,184420.817,51.54211,-0.028941989
Putney Bridge Road,Wandsworth,524709.200,175195.120,51.461999,-0.2062408
Oxford Road,Wandsworth,524270.420,175049.710,51.460783,-0.21260804
Hawley Crescent ,Camden,528860.934,184089.918,51.540998,-0.14327572
Plough Terrace,Wandsworth,526850.250,175282.220,51.462306,-0.1754072
Snowsfields,Southwark,533108.930,179876.310,51.502154,-0.083647326
Grant Road East,Wandsworth,527008.270,175574.000,51.464894,-0.17302926
Parsons Green,H&F,525128.730,176409.390,51.472817,-0.19978326
Michael Road,H&F,525849.990,176923.050,51.477277,-0.18922486
Bridge Avenue,H&F,523038.990,178502.340,51.492085,-0.22913126
Everington Street,H&F,523951.500,177553.450,51.483357,-0.21631994
Stephendale Road,H&F,525795.590,175914.260,51.468221,-0.19036088
St. Peter?s Terrace,H&F,524506.620,177075.080,51.47894,-0.20849969
Wendon Street,Tower Hamlets,536989.092,183749.523,51.53603,-0.026263065
Mile End Stadium,Tower Hamlets,536442.415,181788.258,51.518541,-0.034903714
Alfreda Street,Wandsworth,528515.790,176742.070,51.475051,-0.15092276
Chesilton Road,H&F,524697.190,176719.370,51.475698,-0.20587627
Dunston Road,Hackney,533545.940,183719.130,51.536585,-0.075900096
Ada Street,Hackney,534630.460,183650.760,51.535708,-0.060292195
Victoria Park Road,Hackney,535053.270,183741.440,51.536425,-0.054162264
Alma Road,Wandsworth,526208.730,174785.630,51.457982,-0.1848209
Star Road,H&F,524706.510,178004.320,51.487245,-0.20529345
Bouverie Street,City,531388.330,181129.550,51.513816,-0.10794707
Montserrat Road,Wandsworth,524058.960,175313.630,51.463203,-0.2155655
Thessaly Road North,Wandsworth,529354.310,177015.800,51.477314,-0.13874909
Barons Court Station,H&F,524017.980,178317.930,51.490209,-0.21510184
Kennington Cross,Lambeth,531216.550,178356.360,51.488936,-0.11145482
Aylward Street,Tower Hamlets,535468.353,181437.941,51.515621,-0.049067627
Stainsby Road,Tower Hamlets,537238.204,181462.740,51.515419,-0.023565399
Albert Bridge Road,Wandsworth,527653.700,176646.790,51.474383,-0.16336235
Stewart's Road,Wandsworth,529471.270,176550.580,51.473108,-0.13723554
Mexfield Road,Wandsworth,524962.070,174625.240,51.456821,-0.2028021
Durant Street,Tower Hamlets,534286.011,182858.769,51.528673,-0.065550702
St. Bride Street,City,531565.002,181271.943,51.515051,-0.10534485
Esmond Street,Wandsworth,524345.400,175220.690,51.462304,-0.21146895
Upper Richmond Road,Wandsworth,524304.900,174930.540,51.459707,-0.21216068
Charlotte Terrace,Islington,530992.230,183630.540,51.536383,-0.11272144
Disraeli Road,Wandsworth,524022.150,175134.540,51.461602,-0.21614618
Shoreditch Court,Hackney,533924.030,184006.870,51.539075,-0.0703298
Belford House,Hackney,533938.110,183737.030,51.536654,-0.07023031
Carnegie Street,Islington,530753.690,183521.760,51.535459,-0.11620583
Islington Green,Islington,531682.690,183647.590,51.536376,-0.10277236
Felsham Road,Wandsworth,524049.500,175488.950,51.464777,-0.21563364
Erin Close,H&F,525387.940,177155.060,51.479464,-0.19579161
Rainville Road,H&F,523427.100,177582.050,51.483732,-0.22385226
Charing Cross Hospital,H&F,523823.550,177987.460,51.487286,-0.21801032
Vicarage Crescent,Wandsworth,526761.070,176456.070,51.472876,-0.17626701
Battersea Church Road,Wandsworth,526882.580,176914.010,51.476965,-0.17436146
Dorothy Road,Wandsworth,527651.660,175609.490,51.465064,-0.16376533
West Kensington Station,H&F,524645.400,178406.300,51.490871,-0.20602974
Stanley Grove,Wandsworth,528444.170,176230.570,51.470466,-0.15213045
Ethelburga Estate,Wandsworth,527546.270,176966.960,51.477283,-0.16478673
Normand Park,H&F,524747.350,177686.700,51.484378,-0.20481549
Richmond Way,H&F,523822.490,179441.420,51.500353,-0.21751507
Colet Gardens,H&F,523918.000,178413.070,51.491093,-0.21649338
Putney Rail Station,Wandsworth,523998.140,175035.310,51.460717,-0.21652616
Neville Gill Close,Wandsworth,525496.370,174408.430,51.454753,-0.1951972
Northfields,Wandsworth,525099.260,175087.680,51.460943,-0.20066801
Orbel Street,Wandsworth,527176.530,176651.240,51.474536,-0.17022492
Spanish Road,Wandsworth,526478.290,174929.860,51.459216,-0.18088532
Beryl Road,H&F,523511.940,178074.750,51.488136,-0.22247121
Osiers Road,Wandsworth,525234.120,175060.370,51.46067,-0.19873536
Bishop's Avenue,H&F,524088.130,176408.160,51.473037,-0.21474981
Maclise Road,H&F,524250.150,179146.300,51.497608,-0.21145598
Vereker Road,H&F,524415.960,178257.990,51.489582,-0.20939334
Phene Street,K&C,527307.160,177817.120,51.484985,-0.16791987
Westbridge Road,Wandsworth,527159.920,177000.760,51.477676,-0.17034407
Holden Street,Wandsworth,528024.680,176032.760,51.468782,-0.15824565
Hartington Road,Lambeth,530176.610,177098.250,51.477871,-0.12688886
Heath Road,Lambeth,528836.870,176039.600,51.468661,-0.1465594
Teversham Lane,Lambeth,530433.250,176912.890,51.47614,-0.12325887
Ashley Crescent,Wandsworth,528445.320,175864.510,51.467177,-0.15224894
Silverthorne Road,Wandsworth,528720.060,176503.570,51.472857,-0.14805964
Elysium Place,H&F,524572.750,176202.310,51.471079,-0.2078573
Parsons Green Station,H&F,524970.470,176658.010,51.47509,-0.20196897
Thorndike Close,K&C,526212.410,177335.200,51.480898,-0.18385357
Clarendon Road,K&C,524197.960,180883.250,51.51323,-0.21160801
St. Mark's Road,K&C,524030.450,181284.300,51.516871,-0.2138724
Usk Road,Wandsworth,526379.770,175401.930,51.46348,-0.18214099
Smugglers Way,Wandsworth,525719.730,175117.510,51.461075,-0.19173761
Grant Road Central,Wandsworth,526964.820,175549.880,51.46468,-0.17367129
Hibbert Street,Wandsworth,526495.670,175592.210,51.465171,-0.18040378
Brook Green South,H&F,523956.570,178776.400,51.494347,-0.21581896
Ravenscourt Park Station,H&F,522501.570,178726.740,51.494215,-0.23678468
Shepherd's Bush Road North,H&F,523487.440,179570.500,51.501586,-0.22229373
Evesham Street,K&C,523744.900,180678.480,51.511487,-0.21820461
All Saints' Road,K&C,524656.070,181541.470,51.519043,-0.20476442
World's End Place,K&C,526457.940,177441.510,51.481796,-0.1802894
Austin Road,Wandsworth,528202.600,176659.390,51.474376,-0.15545718
Crabtree Lane,H&F,523741.700,177501.590,51.482936,-0.21936087
Blythe Road West,H&F,523526.620,179358.970,51.499672,-0.2218063
Broomhouse Lane,H&F,525184.590,175920.970,51.46841,-0.19915045
Nantes Close,Wandsworth,526476.930,175231.190,51.461931,-0.18080617
Olympia Way,H&F,524483.030,178983.830,51.496092,-0.20815861
Grant Road West,Wandsworth,526898.970,175513.400,51.464371,-0.17463379
Buckingham Gate,Westminster,529384.690,179414.080,51.498866,-0.13743897
Great Suffolk Street,Southwark,531953.966,179798.936,51.501723,-0.10030718
Ashmole Estate,Lambeth,530803.310,177649.253,51.482678,-0.11766157
Falcon Road,Wandsworth,527226.080,175773.150,51.466634,-0.16982118
William Morris Way,H&F,526212.810,175990.830,51.468811,-0.18433359
Peterborough Road,H&F,525382.430,175994.830,51.469031,-0.19627518
South Park,H&F,525579.980,175779.810,51.467055,-0.19351682
Morie Street,Wandsworth,525830.040,174994.600,51.459945,-0.19018441
Spencer Park,Wandsworth,526912.140,174790.010,51.45787,-0.17469162
Battersea Park Road,Wandsworth,529137.840,177253.180,51.479502,-0.1417851
Queen's Circus,Wandsworth,528603.040,177029.610,51.47761,-0.14955199
Fawcett Close,Wandsworth,526894.530,176046.360,51.469162,-0.17450018
Clarence Walk,Lambeth,530189.190,176304.150,51.470733,-0.12699407
Archbishop's Park,Lambeth,530769.840,179379.730,51.498233,-0.11751063
Courland Grove,Lambeth,529828.270,176537.550,51.472909,-0.13210307
Aintree Street,H&F,524397.800,177303.540,51.481013,-0.20998824
Irene Road,H&F,525317.940,176518.500,51.473755,-0.19702484
Greyhound Road,H&F,524074.860,177857.290,51.486062,-0.21444277
Coomer Place,H&F,524941.770,177600.850,51.483562,-0.20205343
Eel Brook Common,H&F,525572.040,176802.800,51.476251,-0.19325436
Surrey Lane,Wandsworth,527387.130,176727.740,51.475171,-0.1671611
Wandsworth Town Station,Wandsworth,526018.570,175101.450,51.460865,-0.18744168
Sheepcote Lane,Wandsworth,527686.450,176218.560,51.47053,-0.16304197
Bradmead,Wandsworth,528938.730,177100.070,51.478172,-0.14470493
Union Grove,Lambeth,529698.260,176543.770,51.472993,-0.13397157
Finlay Street,H&F,523997.700,176834.110,51.476885,-0.21590999
Danvers Street,K&C,527025.490,177541.450,51.482568,-0.17207819
Lansdowne Road,K&C,524634.100,180254.440,51.507481,-0.20553591
Princedale Road,K&C,524432.290,180135.940,51.506456,-0.20848695
BBC White City,H&F,523209.790,181030.800,51.514767,-0.22578723
Sugden Road,Wandsworth,528066.210,175625.630,51.465115,-0.15778864
Caldwell Street,Lambeth,530898.200,177113.890,51.477839,-0.11649271
"Wandsworth Rd, Ilsley Court",Lambeth,529164.050,176114.050,51.46926,-0.14181251
Fulham Park Road,H&F,524568.440,176468.320,51.473471,-0.20782118
Putney Bridge Station,H&F,524409.920,175945.550,51.468805,-0.21029325
Hammersmith Road,H&F,523679.210,178649.130,51.493267,-0.2198515
Southerton Road,H&F,523097.840,178772.430,51.494499,-0.22818777
Manbre Road,H&F,523438.050,177806.260,51.485743,-0.22361569
Addison Road,K&C,524268.200,179873.550,51.504138,-0.21094097
St. Martin's Close,Camden,529195.210,183852.960,51.538792,-0.13853478
The Vale,K&C,526817.223,177819.604,51.485113,-0.17497226
Westbourne Park Road,K&C,524919.970,181417.280,51.51787,-0.2010198
Harcourt Terrace,K&C,525945.900,178114.110,51.487959,-0.1874189
Cleveland Way,Tower Hamlets,535291.881,182019.279,51.520893,-0.051393694
Queensbridge Road,Hackney,533965.286,183441.075,51.533988,-0.069953776
Pitfield Street North,Hackney,533086.434,183589.348,51.535525,-0.082563204
Eagle Wharf Road ,Hackney,532346.774,183332.678,51.53339,-0.093322642
Ilchester Gardens,Westminster,525629.144,180826.991,51.512402,-0.19100296
Mudchute DLR,Tower Hamlets,537936.749,178724.371,51.490645,-0.014582266
Greenberry Street,Westminster,527123.887,183112.862,51.532612,-0.16866127
Queen Street (Ext),City,532429.231,180870.051,51.511246,-0.093051217
Heron Quays DLR,Tower Hamlets,537412.940,180046.684,51.502652,-0.02161069
Stonecutter Street (Ext),City,531566.990,181355.500,51.515806,-0.10529913
Drayton Gardens,K&C,526506.180,178043.158,51.487196,-0.17936867
Abingdon Green,Westminster,530187.151,179296.365,51.497621,-0.12592079
Monument Street,City,533009.761,180702.514,51.5096,-0.084761573
Kingsway Southbound,Westminster,530706.094,181118.599,51.513875,-0.1177738
New Cavendish Street,Westminster,528595.000,181653.213,51.519167,-0.14798341
Limerston Street,K&C,526384.070,177861.700,51.485587,-0.18118993
Greenland Road,Camden,528973.592,183881.368,51.539103,-0.14172336
Somerset House,Westminster,530728.995,180681.500,51.509943,-0.11761882
